    INT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT      ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       , BOOL  , BOOL ,     BOOL      ,        BOOL         ,        INT         ,      INT      ,        INT         ,      INT      , INT  
     -      ,     Msol     ,     Msol     ,        AU        ,        -        ,                -                 ,       -        ,      -       ,           -           ,                -                 ,       -        ,      -       ,           -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,         -         ,         -         , State ,Event ,     Event     ,        Event        ,         -          ,       -       ,         -          ,       -       ,  -   
    SEED    , Mass@ZAMS(1) , Mass@ZAMS(2) ,SemiMajorAxis@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number(1),SN_Kick_Theta(1),SN_Kick_Phi(1),SN_Kick_Mean_Anomaly(1),SN_Kick_Magnitude_Random_Number(2),SN_Kick_Theta(2),SN_Kick_Phi(2),SN_Kick_Mean_Anomaly(2),Omega@ZAMS(1) ,Omega@ZAMS(2) ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,  LBV_Factor  ,  WR_Factor   ,   CE_Alpha   ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),Unbound,Merger,Merger_At_Birth,Equilibrated_At_Birth,Stellar_Type@ZAMS(1),Stellar_Type(1),Stellar_Type@ZAMS(2),Stellar_Type(2),Error 
  1605159494,  1.316454e+01,  6.470591e+00,      7.207175e-01,     0.000000e+00,                      4.915166e-01,    5.018051e+00,  1.131674e+00,           1.229309e+00,                      2.144413e-01,    4.113059e+00,  2.202265e-02,           1.584404e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,              7,                   1,             15,     0
  1605159495,  2.416902e+01,  6.746466e+00,      1.191936e+00,     0.000000e+00,                      2.521657e-01,    4.113059e+00,  2.202265e-02,           5.985127e+00,                      3.365218e-01,    5.644531e+00,  1.048098e+00,           5.018051e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,0,0,0,                   1,             13,                   1,             11,     0
  1605159496,  1.804456e+01,  3.658145e+00,      3.842161e+01,     0.000000e+00,                      7.907715e-02,    4.661156e+00, -1.416773e+00,           2.390710e+00,                      5.728340e-01,    3.440078e+00,  4.740579e-01,           5.173058e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             14,                   1,              1,     0
  1605159497,  6.895496e+01,  1.124198e+01,      2.080367e+00,     0.000000e+00,                      1.378450e-01,    4.614065e+00, -3.932168e-01,           6.022932e+00,                      8.584545e-01,    3.553028e+00,  6.395182e-01,           1.712096e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,              7,                   1,             15,     0
  1605159498,  2.445883e+01,  2.337135e+01,      1.433594e+00,     0.000000e+00,                      1.145563e-02,    5.222865e+00,  6.521460e-02,           3.142895e+00,                      1.469614e-01,    6.107940e+00, -2.924765e-01,           6.268502e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,             15,                   1,              7,     0
  1605159499,  1.892051e+01,  1.708938e+00,      4.075732e-01,     0.000000e+00,                      3.773718e-01,    5.272275e+00,  3.742546e-01,           4.774869e-01,                      4.186748e-01,    1.331971e-02, -1.032614e-02,           1.823202e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,              7,                   1,             15,     0
  1605159500,  1.116619e+01,  9.078460e+00,      3.634296e+00,     0.000000e+00,                      1.478549e-01,    4.176296e+00,  2.241094e-01,           9.765808e-01,                      4.285656e-01,    5.407223e+00, -8.669431e-01,           2.887508e-02,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,              7,                   1,             15,     0
  1605159501,  2.195894e+01,  5.998671e+00,      3.297697e+02,     0.000000e+00,                      6.533787e-02,    3.641442e+00, -7.530304e-01,           3.434544e+00,                      5.099908e-01,    1.315957e+00, -3.042919e-01,           5.925737e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             14,                   1,              1,     0
  1605159502,  3.694023e+01,  1.279819e+01,      8.115463e+02,     0.000000e+00,                      9.943199e-01,    3.586745e+00,  4.285375e-01,           1.394021e+00,                      8.121693e-01,    1.268507e-02,  9.110504e-01,           1.763643e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             14,                   1,             13,     0
  1605159503,  9.913681e+00,  9.636204e+00,      7.489136e+01,     0.000000e+00,                      6.296613e-01,    5.043729e+00,  1.047582e-01,           1.128256e+00,                      3.556689e-01,    6.759012e-01, -2.008799e-01,           3.407558e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              4,     0
